0:0:0:0:0:0:0:1 - - [21/May/2019:00:30:40 -0300] "POST /03-JSF/faces/iot.xhtml HTTP/1.1" 500 3654
127.0.0.1 - - [21/May/2019:00:31:23 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:23 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:23 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:31:23 -0300] "GET /03-JSF/faces/iot.xhtml HTTP/1.1" 200 1125
127.0.0.1 - - [21/May/2019:00:31:25 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:25 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:25 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:25 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:25 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:26 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:26 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:26 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:26 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
0:0:0:0:0:0:0:1 - - [21/May/2019:00:31:26 -0300] "POST /03-JSF/faces/iot.xhtml HTTP/1.1" 500 3654
127.0.0.1 - - [21/May/2019:00:31:45 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
127.0.0.1 - - [21/May/2019:00:31:46 -0300] "GET /02-oit/rest/iot HTTP/1.1" 200 183
